[2012/8/29 - 16:26:39] AdmWarn: Abdo has given Abdo $1410065407.
[2012/10/7 - 22:3:46] AdmWarn: Roland has given Jeffrey Loc $10000000.
[2012/10/8 - 23:14:14] AdmWarn: gmodder110 has given gmodder110 $10000.
[2012/10/8 - 23:14:17] AdmWarn: gmodder110 has given gmodder110 $10000.
[2012/10/8 - 23:14:17] AdmWarn: gmodder110 has given gmodder110 $10000.
[2012/10/8 - 23:14:18] AdmWarn: gmodder110 has given gmodder110 $10000.
[2012/10/8 - 23:14:18] AdmWarn: gmodder110 has given gmodder110 $10000.
[2012/10/8 - 23:14:19] AdmWarn: gmodder110 has given gmodder110 $10000.
[2012/10/8 - 23:14:19] AdmWarn: gmodder110 has given gmodder110 $10000.
[2012/10/8 - 23:14:19] AdmWarn: gmodder110 has given gmodder110 $10000.
[2012/10/8 - 23:14:20] AdmWarn: gmodder110 has given gmodder110 $10000.
[2012/10/8 - 23:14:20] AdmWarn: gmodder110 has given gmodder110 $10000.
[2012/10/8 - 23:14:20] AdmWarn: gmodder110 has given gmodder110 $10000.
[2012/10/8 - 23:14:22] AdmWarn: gmodder110 has given gmodder110 $100000.
[2012/10/8 - 23:15:30] AdmWarn: Roland has given Alan Diesel $10000000.
[2012/10/13 - 0:9:49] AdmWarn: NouieMan has given NouieMan $1.
[2012/10/13 - 0:14:33] AdmWarn: NouieMan has given NouieMan $1.
[2012/10/13 - 0:27:42] AdmWarn: NouieMan has given NouieMan $900000.
[2012/10/13 - 0:29:39] AdmWarn: gmodder110 has given William Martinez $100000.
[2012/10/13 - 0:34:19] AdmWarn: gmodder110 has given William Martinez $10000.
[2012/10/13 - 0:34:21] AdmWarn: gmodder110 has given William Martinez $1000000.
[2012/11/18 - 17:25:45] AdmWarn: Alek Yevtushenko has given Alek Yevtushenko $500000.
[2012/12/27 - 0:57:38] AdmWarn: Sami Aniello has given Sami Aniello $35555.
[2012/12/28 - 14:32:5] AdmWarn: Rivers Konkiy has given Roman Tabanov $200000.
[2012/12/28 - 14:32:9] AdmWarn: Rivers Konkiy has given Vladislav Ikarnov $200000.
[2012/12/29 - 13:10:26] AdmWarn: Alek Yevtushenko has given Alek Yevtushenko $1000000.
[2012/12/29 - 13:14:2] AdmWarn: Alek Yevtushenko has given Katya Yevtushenko $500000.
[2013/1/29 - 17:11:24] AdmWarn: Justin Case has given Nikita Greco $69.
[2013/1/29 - 17:43:36] AdmWarn: Alexander Greco has given Nikita Greco $2000000.
[2013/1/29 - 17:45:52] AdmWarn: Justin Case has given Justin Case $10000000.
[2013/2/3 - 20:14:9] AdmWarn: Danny Kovalchuk has given Danny Kovalchuk $27473753.
[2013/2/20 - 16:46:20] AdmWarn: Alexander Greco has given Vinny Alo $50000000.
[2013/3/9 - 18:36:8] AdmWarn: Billy Gonzales has given Billy Gonzales $10000.
[2013/3/23 - 10:57:8] AdmWarn: Billy Gonzales has given Billy Gonzales $100000.
[2013/3/23 - 10:57:14] AdmWarn: Billy Gonzales has given Billy Gonzales $10000000.
[2013/3/23 - 14:42:54] AdmWarn: Billy Gonzales has given Jack Cromsby $10000.
[2013/3/23 - 14:54:18] AdmWarn: Rasmus Jensen has given Rasmus Jensen $999999999.
[2017/6/23 - 1:13:49] AdmWarn: Giovanni Salvatore has given Giovanni Salvatore $50000.
[2017/6/23 - 1:24:59] AdmWarn: Giovanni Salvatore has given Giovanni Salvatore $1000.
[2017/6/23 - 1:25:5] AdmWarn: Giovanni Salvatore has given Giovanni Salvatore $802.
[2017/6/23 - 1:27:56] AdmWarn: Giovanni Salvatore has given Giovanni Salvatore $50000.
[2017/6/25 - 1:44:14] AdmWarn: Giovanni Salvatore has given Giovanni Salvatore $500000.
[2017/6/25 - 1:44:15] AdmWarn: Giovanni Salvatore has given Giovanni Salvatore $5000000.
[2017/7/9 - 21:56:9] AdmWarn: Oscar Pinto has given Oscar Pinto $5000000.
[2017/7/9 - 23:48:21] AdmWarn: Pedro Teves has given Pedro Teves $1555555.
[2017/7/9 - 23:53:25] AdmWarn: Pedro Teves has given Pedro Teves $1555555.
[2017/7/10 - 21:56:0] AdmWarn: Oscar Pinto has given Sofia Robles $1500000.
[2017/8/1 - 21:5:17] AdmWarn: El Estado has given El Estado $150000000.
[2017/8/5 - 14:10:13] AdmWarn: Jhon Mustang has given Daniel Becerra $50000.
[2017/8/6 - 4:54:22] AdmWarn: Jhon Mustang has given Vinnie Paz $20000.
[2017/8/6 - 23:9:59] AdmWarn: Jhon Mustang has given Vinnie Paz $20000.
[2017/8/7 - 0:58:57] AdmWarn: Bot Admin has given Vinnie Paz $20000.
[2017/8/7 - 6:51:49] AdmWarn: Oscar Pinto has given Miguel Salvatore $400000.
[2017/9/19 - 20:51:55] Administración: Miguel Salvatore has given Miguel Salvatore $50000.
[2017/9/19 - 20:52:18] Administración: Miguel Salvatore has given Miguel Salvatore $50000.
[2018/4/10 - 21:51:47] Administración: Oscar Pinto ha dado a Darwin Chacon $40000.
[2018/4/11 - 0:9:54] Administración: Miguel Salvatore ha dado a Matias Carlito $320000.
[2018/4/11 - 0:10:34] Administración: Miguel Salvatore ha dado a Miguel Salvatore $1000000.
[2018/4/11 - 1:43:59] Administración: Oscar Pinto ha dado a Santiago Martin $20000.
[2018/4/11 - 1:44:22] Administración: Oscar Pinto ha dado a Manolo Perez $20000.
[2018/4/11 - 1:45:18] Administración: Oscar Pinto ha dado a Santiago Martin $200000.
[2018/4/11 - 1:52:32] Administración: Oscar Pinto ha dado a Alsakarim Khalid $400000.
[2018/4/11 - 1:53:6] Administración: Oscar Pinto ha dado a Oscar Pinto $50000000.
[2018/4/11 - 4:0:30] Administración: Miguel Salvatore ha dado a Alfonso hoegaarden $16500.
[2018/4/11 - 4:31:26] Administración: Oscar Pinto ha dado a Victoria Robles $705032704.
[2018/4/11 - 4:48:16] Administración: Oscar Pinto ha dado a Santiago Martin $25000.
[2018/4/11 - 4:53:38] Administración: Oscar Pinto ha dado a Gabriel Scaletta $1500.
[2018/4/11 - 16:30:41] Administración: Oscar Pinto ha dado a Jhon Lock $14000.
[2018/4/11 - 16:34:9] Administración: Miguel Salvatore ha dado a Miguel Salvatore $1000000.
[2018/4/11 - 16:38:8] Administración: Dios Injusto ha dado a Dios Injusto $5000000.
[2018/4/11 - 16:45:40] Administración: Dios Injusto ha dado a Brayan Osorio $50000.
[2018/4/11 - 17:19:18] Administración: Oscar Pinto ha dado a Igor Spopovich $15000.
[2018/4/11 - 17:20:36] Administración: Oscar Pinto ha dado a Manolo Perez $16500.
[2018/4/11 - 17:37:35] Administración: Oscar Pinto ha dado a Darwin Chacon $620000.
[2018/4/11 - 17:43:7] Administración: Oscar Pinto ha dado a Elias Chacon $14000.
[2018/4/11 - 17:59:0] Administración: Oscar Pinto ha dado a Shady Adel $17000.
[2018/4/11 - 18:17:45] Administración: Oscar Pinto ha dado a Ali Mohammed $17000.
[2018/4/11 - 18:21:8] Administración: Oscar Pinto ha dado a Ali Mohammed $100000.
[2018/4/11 - 18:29:55] Administración: Oscar Pinto ha dado a Samuel Dybala $16000.
[2018/4/11 - 18:35:40] Administración: Miguel Salvatore ha dado a Annie Loher $20000.
[2018/4/11 - 21:0:41] Administración: Oscar Pinto ha dado a Stefano Priciani $17000.
[2018/4/12 - 0:13:27] Administración: Miguel Salvatore ha dado a Santiago Martin $187500.
[2018/4/12 - 0:36:40] Administración: Miguel Salvatore ha dado a Gabriel Medrano $14500.
[2018/4/12 - 2:55:30] Administración: Miguel Salvatore ha dado a Matias Carlito $300000.
[2018/4/12 - 16:1:46] Administración: Miguel Salvatore ha dado a Miguel Salvatore $-700000.
[2018/4/12 - 23:5:18] Administración: Oscar Pinto ha dado a Matias Carlito $300000.
[2018/4/12 - 23:18:3] Administración: Oscar Pinto ha dado a Alsakarim Khalid $420000.
[2018/4/12 - 23:39:5] Administración: Oscar Pinto ha dado a Rodrigo Mzienski $40000.
[2018/4/13 - 21:18:34] Administración: Oscar Pinto ha dado a Stefano Priciani $650000.
[2018/4/16 - 1:20:15] Administración: Oscar Pinto ha dado a Agustin Chacon $400000.
[2018/4/17 - 19:24:54] Administración: Victoria Robles ha dado a Asaff Khatab $500.
[2018/4/18 - 22:58:19] Administración: Victoria Robles ha dado a Agustin Chacon $50000.
[2018/4/19 - 0:59:22] Administración: Oscar Pinto ha dado a Stefano Priciani $650000.
[2018/4/19 - 4:6:21] Administración: Oscar Pinto ha dado a Brayan Osorio $-1000.
[2018/4/19 - 4:6:34] Administración: Oscar Pinto ha dado a Brayan Osorio $-1000.
[2018/4/19 - 4:6:47] Administración: Oscar Pinto ha dado a Brayan Osorio $3000.
[2018/4/22 - 7:3:14] Administración: Miguel Salvatore ha dado a Miguel Salvatore $300000.
[2018/4/22 - 7:6:54] Administración: Miguel Salvatore ha dado a Miguel Salvatore $1000000.
[2018/4/22 - 7:6:59] Administración: Miguel Salvatore ha dado a Miguel Salvatore $1000000.
[2018/4/22 - 7:33:14] Administración: Miguel Salvatore ha dado a Miguel Salvatore $400000.
[2018/4/22 - 19:49:26] Administración: Oscar Pinto ha dado a Walther Quero $1000.
[2018/4/22 - 19:54:13] Administración: Oscar Pinto ha dado a Ferney Ramos $50000.
[2018/4/22 - 20:44:27] Administración: Oscar Pinto ha dado a Gonzalo Alvarez $20000.
[2018/4/24 - 0:41:6] Administración: Miguel Salvatore ha dado a Walther Quero $115000.
[2018/4/25 - 17:38:1] Administración: Miguel Salvatore ha dado a Asaff Khatab $70000.
[2018/4/25 - 17:38:12] Administración: Miguel Salvatore ha dado a Asaff Khatab $-70000.
[2018/4/25 - 17:38:25] Administración: Miguel Salvatore ha dado a Miguel Salvatore $70000.
[2018/4/25 - 17:40:14] Administración: Miguel Salvatore ha dado a Asaff Khatab $1000000.
[2018/4/25 - 17:40:34] Administración: Miguel Salvatore ha dado a Asaff Khatab $-1000000.
[2018/4/25 - 17:41:0] Administración: Miguel Salvatore ha dado a Asaff Khatab $1000000.
[2018/4/25 - 17:41:6] Administración: Miguel Salvatore ha dado a Asaff Khatab $-1000000.
[2018/4/25 - 17:41:22] Administración: Miguel Salvatore ha dado a Miguel Salvatore $1000000.
[2018/4/26 - 1:17:58] Administración: Oscar Pinto ha dado a Brayan Osorio $12000000.
[2018/4/27 - 18:53:10] Administración: Brayan Osorio ha dado a Johan Garzon $300000.
[2018/4/29 - 16:1:38] Administración: Oscar Pinto ha dado a Brayan Osorio $3000000.
[2018/4/29 - 21:55:0] Administración: Miguel Salvatore ha dado a Brayan Osorio $-50000.
[2018/4/30 - 18:21:2] Administración: Miguel Salvatore ha dado a Miguel Salvatore $1000000.
[2018/4/30 - 18:23:23] Administración: Miguel Salvatore ha dado a Miguel Salvatore $1000000.
[2018/5/4 - 18:2:29] Administración: Miguel Salvatore ha dado a Brayan Osorio $2000000.
[2018/5/5 - 17:41:19] Administración: Brayan Osorio ha dado a Brayan Osorio $10000.
